category,subcategory,period,n,top_10_threshold,top_10_ci_low,top_10_ci_high,top_5_threshold,top_5_ci_low,top_5_ci_high,top_1_threshold,top_1_ci_low,top_1_ci_high
corporate_disclosure,,post_2024,8,0.027823,-0.34767,0.232742,0.130282,-0.343862,0.232742,0.21225,-0.256506,0.232742
military_geopolitics,,post_2024,11,-0.021739,-0.38,0.05,0.014131,-0.370451,0.05,0.042826,-0.361905,0.05
military_geopolitics,,pre_2024,11,-0.18,-0.91,0.82,0.32,-0.66,0.82,0.72,-0.544,0.82
regulatory_decision,regulatory_decision_announcement,post_2024,14,0.110823,-0.435532,0.525253,0.297889,-0.299812,0.525253,0.47978,-0.09175,0.525253
regulatory_decision,regulatory_decision_announcement,pre_2024,5,0.358923,-0.5385,0.47,0.414462,-0.385,0.47,0.458892,-0.2622,0.47
regulatory_decision,regulatory_decision_formal,post_2024,22,0.616398,0.401214,0.9768,0.812225,0.494664,0.994,0.95788,0.525424,0.994
regulatory_decision,regulatory_decision_formal,pre_2024,14,0.36,-0.07,0.49,0.4055,-0.031034,0.49,0.4731,0.007271,0.49
