bucket,period,n,raw_n,raw_mean,raw_median,raw_std,raw_p10,raw_p25,raw_p50,raw_p75,raw_p90,adj_n,adj_mean,adj_median,adj_std,adj_p10,adj_p25,adj_p50,adj_p75,adj_p90
regulatory_announcement,pre_2024,5,5,-0.3134,-0.2315,0.6027,-0.999,-0.999,-0.2315,0.1923,0.3589,5,-0.2726,-0.2616,0.7407,-1.072,-1.0424,-0.2616,0.1742,0.5848
regulatory_announcement,post_2024,14,14,-0.8501,-0.7968,0.8208,-1.9401,-1.4803,-0.7968,-0.1754,0.1108,14,-0.7851,-0.8351,0.9019,-1.843,-1.4529,-0.8351,-0.1575,0.5409
regulatory_formal,pre_2024,14,14,-0.2156,-0.1578,0.4352,-0.811,-0.5125,-0.1578,-0.0047,0.36,14,-0.0712,-0.1316,0.6446,-0.8728,-0.4972,-0.1316,0.0727,0.9605
regulatory_formal,post_2024,22,22,-0.4843,-0.211,1.7812,-1.0561,-0.4946,-0.211,0.4682,0.6164,22,-0.0403,-0.0178,2.072,-0.4867,-0.3786,-0.0178,0.9334,1.2152
other,pre_2024,14,14,-0.5728,-0.875,0.5515,-0.999,-0.9985,-0.875,-0.2375,0.133,14,-0.565,-0.7923,0.5827,-1.0633,-1.0159,-0.7923,-0.292,-0.0761
other,post_2024,19,19,-0.5355,-0.5467,0.4345,-0.99,-0.9293,-0.5467,-0.2023,-0.0074,19,-0.2968,-0.3399,0.4345,-0.6928,-0.5675,-0.3399,0.0056,0.1972
